rxn10197, Energy metabolism
rxn08200,
rxn13096, Nucleotide metabolism
rna_r,
rxn10281, Energy metabolism
rxn05284,
rxn32949, Carbohydrate metabolism
rxn13927, Biosynthesis of other secondary metabolites
rxn05017,
rxn10187,
cofactor_r,
rxn37018,
rxn41398,
rxn44229,
rxn05676,
EX_cpd00056,
rxn05514,
rxn06477,
rxn11258, Nucleotide metabolism
EX_bioma,
EX_cpd01311,
rxn05281,
rxn05787,
rxn05296, Lipid metabolism
rxn15366,
EX_cpd00254,
rxn10179, Metabolism of terpenoids and polyketides
rxn10633, Amino acid metabolism
rxn42076,
rxn10280, Energy metabolism
rxn00479, Amino acid metabolism
rxn08084,
rxn12669, Metabolism of cofactors and vitamins
rxn00121, Metabolism of cofactors and vitamins
EX_cpd01414,
rxn21403, Biosynthesis of other secondary metabolites
rxn10106, Energy metabolism
rxn46381,
rxn13121, Nucleotide metabolism
rxn42332,
rxn41785,
rxn13143, Metabolism of cofactors and vitamins
rxn11223,
EX_cpd00971,
rxn47399,
rxn00394, Amino acid metabolism
rxn05263,
rxn08547,
rxn31585, Amino acid metabolism
rxn00339,
rxn09111, Metabolism of cofactors and vitamins
EX_cpd17005,
rxn06046, Carbohydrate metabolism
EX_cpd00982,
rxn20059,
rxn02291, Lipid metabolism
rxn34424,
rxn08224,
rxn10737, Amino acid metabolism
rxn09798, Xenobiotics biodegradation and metabolism
rxn13699,
rxn12668, Metabolism of cofactors and vitamins
rxn45238,
rxn44825,
rxn27266,
rxn10271, Energy metabolism
rxn08295,
rxn13752,
rxn12667, Metabolism of cofactors and vitamins
rxn05618,
rxn00123, Metabolism of cofactors and vitamins
rxn27262, Energy metabolism
rxn34959, Lipid metabolism
rxn07060,
rxn30653, Metabolism of cofactors and vitamins
EX_cpd00030,
rxn03190,
rxn13113,
protein_r,
rxn10272, Energy metabolism
rxn31388, Carbohydrate metabolism
rxn13032, Nucleotide metabolism
lipid_r,
rxn32642, Amino acid metabolism
EX_cpd17028,
rxn31460, Carbohydrate metabolism
EX_cpd00200,
rxn13724,
EX_cpd00067,
EX_cpd00007,
EX_cpd17026,
EX_cpd15560,
EX_cpd00009,
EX_cpd00235,
EX_cpd00035,
EX_cpd00051,
EX_cpd00132,
EX_cpd00041,
EX_cpd00084,
EX_cpd00053,
EX_cpd00023,
EX_cpd00033,
EX_cpd00322,
EX_cpd00107,
EX_cpd00039,
EX_cpd00060,
EX_cpd00066,
EX_cpd00129,
EX_cpd00054,
EX_cpd00161,
EX_cpd00065,
EX_cpd00069,
EX_cpd00156,
EX_cpd00027,
EX_cpd00149,
EX_cpd00099,
rxn22535, Carbohydrate metabolism
rxn32344, Amino acid metabolism
rxn40941,
rxn47074,
rxn41598,
rxn08617, Carbohydrate metabolism
rxn20289, Nucleotide metabolism
rxn27379, Amino acid metabolism
rxn05242,
rxn46214,
rxn34745,
rxn11327,
rxn40745,
rxn08241,
rxn42058,
rxn05305, Lipid metabolism
EX_cpd00572,
rxn05663,
rxn09865, Xenobiotics biodegradation and metabolism
rxn42988,
rxn05241,
rxn09306,
rxn47471,
rxn47859,
rxn34491,
rxn08233,
rxn09192, Nucleotide metabolism
rxn34008, Energy metabolism
rxn05301, Lipid metabolism
EX_cpd00036,
EX_cpd00183,
EX_cpd00242,
EX_cpd00218,
EX_cpd00274,
EX_cpd00059,
EX_cpd00118,
EX_cpd00015,
EX_cpd03561,
EX_cpd00121,
EX_cpd00073,
EX_cpd00305,
EX_cpd00048,
EX_cpd00133,
EX_cpd00393,
EX_cpd00430,
EX_cpd01401,
EX_cpd00001,
EX_cpd00728,
EX_cpd00220,
EX_cpd00123,
EX_cpd01758,
EX_cpd00104,
EX_cpd00655,
EX_cpd00108,
EX_cpd00365,
EX_cpd00263,
cpd00036_transpo,
cpd00183_transpo,
cpd00508_transpo,
cpd00254_transpo,
cpd00242_transpo,
cpd00035_transpo,
cpd00218_transpo,
cpd00274_transpo,
cpd00059_transpo,
cpd00118_transpo,
cpd00015_transpo,
cpd03561_transpo,
cpd00121_transpo,
cpd00073_transpo,
cpd00027_transpo,
cpd00305_transpo,
cpd00200_transpo,
cpd00048_transpo,
cpd00133_transpo,
cpd00393_transpo,
cpd00430_transpo,
cpd01401_transpo,
cpd00971_transpo,
cpd00001_transpo,
cpd00728_transpo,
cpd00156_transpo,
cpd00084_transpo,
cpd00220_transpo,
cpd00123_transpo,
cpd01758_transpo,
cpd00104_transpo,
cpd00655_transpo,
cpd00108_transpo,
cpd00365_transpo,
cpd00205_transpo,
